CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
45860,"Torrington, CT",O3,4th Max,1,0.099,0.099,0.099,0.097,0.096,0.094,0.085,0.089,0.077,0.07,0.072,0.07,0.073,0.068,0.068,0.076,0.078,0.067,0.071,0.062,0.063
45900,"Traverse City, MI",O3,4th Max,1,0.081,0.091,0.086,0.089,0.075,0.086,0.08,0.082,0.066,0.069,0.072,0.071,0.083,0.069,0.069,0.067,0.072,0.065,0.069,0.057,0.068
45940,"Trenton, NJ",O3,4th Max,1,0.099,0.104,0.109,0.087,0.082,0.089,0.09,0.094,0.079,0.071,0.086,0.079,0.08,0.07,0.071,0.073,0.074,0.069,0.076,0.066,0.07
46020,"Truckee-Grass Valley, CA",O3,4th Max,1,0.1,0.095,0.099,0.101,0.093,0.093,0.096,0.088,0.091,0.083,0.077,0.076,0.075,0.078,0.081,0.084,0.086,0.09,0.095,0.072,0.08
46060,"Truckee-Grass Valley, CA",NO2,Annual Mean,2,17,16,17,17,16,15,15,13,12,11,11,12,12,10,10,9,8,8,8,7,7
46060,"Truckee-Grass Valley, CA",NO2,98th Percentile,2,56,53,54,53,52,47,47,48,47,42,43,45,44,42,40,38,33,37,38,34,32
46060,"Truckee-Grass Valley, CA",O3,4th Max,5,0.075,0.067,0.074,0.074,0.068,0.075,0.072,0.07,0.07,0.066,0.068,0.071,0.068,0.069,0.065,0.065,0.065,0.07,0.069,0.065,0.071
46140,"Tulsa, OK",NO2,Annual Mean,1,11,11,11,10,5,11,11,10,9,9,8,9,9,8,7,8,7,7,7,7,6
46140,"Tulsa, OK",O3,4th Max,3,0.08,0.079,0.081,0.083,0.071,0.078,0.081,0.072,0.068,0.07,0.07,0.082,0.083,0.07,0.063,0.065,0.063,0.064,0.07,0.064,0.059
46140,"Tulsa, OK",SO2,99th Percentile,2,80,88,64,70,109,71,62,58,65,46,48,51,40,31,11,10,15,14,7,7,7
46180,"Tupelo, MS",O3,4th Max,1,0.084,0.081,0.08,0.076,0.069,0.076,0.076,0.073,0.068,0.063,0.068,0.064,0.067,0.061,0.059,0.058,0.061,0.055,0.06,0.061,0.052
46220,"Tuscaloosa, AL",O3,4th Max,1,0.081,0.081,0.083,0.07,0.068,0.074,0.077,0.08,0.068,0.055,0.06,0.06,0.058,0.059,0.057,0.062,0.061,0.058,0.063,0.06,0.052
46340,"Tyler, TX",NO2,Annual Mean,1,6,5,5,4,3,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2
46340,"Tyler, TX",NO2,98th Percentile,1,30,30,26,26,25,26,24,26,19,19,26,23,19,17,14,15,17,15,12,14,12
46340,"Tyler, TX",O3,4th Max,1,0.087,0.082,0.084,0.079,0.081,0.083,0.082,0.077,0.072,0.075,0.072,0.078,0.076,0.071,0.066,0.066,0.063,0.063,0.069,0.067,0.06
46380,"Ukiah, CA",O3,4th Max,1,0.053,0.052,0.06,0.06,0.055,0.057,0.06,0.053,0.061,0.053,0.047,0.043,0.057,0.055,0.052,0.053,0.048,0.057,0.053,0.051,0.059
46520,"Ukiah, CA",NO2,Annual Mean,1,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,4,4,4,4,4,3
46520,"Ukiah, CA",NO2,98th Percentile,1,26,26,26,26,23,24,24,26,26,26,24,22,19,23,24,24,29,33,27,28,26
46520,"Ukiah, CA",O3,4th Max,1,0.044,0.042,0.043,0.038,0.046,0.042,0.04,0.033,0.041,0.048,0.046,0.046,0.043,0.047,0.054,0.048,0.047,0.046,0.046,0.053,0.044
46520,"Ukiah, CA",SO2,99th Percentile,2,10,9,10,12,15,19,11,14,14,12,16,7,12,8,8,12,8,6,5,5,3
46540,"Utica-Rome, NY",O3,4th Max,1,0.067,0.076,0.079,0.075,0.064,0.068,0.067,0.075,0.069,0.067,0.065,0.06,0.065,0.061,0.057,0.061,0.071,0.057,0.064,0.048,0.048
46700,"Utica-Rome, NY",NO2,Annual Mean,1,13,13,13,12,12,11,12,11,10,10,9,10,9,10,8,8,7,8,8,7,7
46700,"Utica-Rome, NY",NO2,98th Percentile,1,46,45,45,44,43,43,43,43,45,39,39,43,41,43,43,38,36,42,41,41,42
46700,"Utica-Rome, NY",O3,4th Max,2,0.063,0.069,0.068,0.071,0.067,0.056,0.067,0.058,0.068,0.067,0.065,0.065,0.062,0.058,0.064,0.066,0.063,0.06,0.053,0.059,0.063
46700,"Utica-Rome, NY",SO2,99th Percentile,1,12,12,11,10,13,10,11,9,8,7,7,5,4,4,7,4,5,4,4,4,4
47020,"Victoria, TX",O3,4th Max,1,0.079,0.073,0.078,0.084,0.075,0.071,0.071,0.066,0.062,0.068,0.069,0.074,0.066,0.062,0.062,0.07,0.064,0.063,0.066,0.062,0.06
47220,"Vineland-Bridgeton, NJ",O3,4th Max,1,0.094,0.101,0.101,0.085,0.083,0.085,0.083,0.083,0.079,0.072,0.077,0.066,0.084,0.061,0.067,0.068,0.069,0.063,0.063,0.068,0.06
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",O3,4th Max,2,0.083,0.08,0.095,0.081,0.075,0.078,0.074,0.077,0.078,0.065,0.074,0.075,0.069,0.065,0.061,0.061,0.062,0.059,0.061,0.059,0.053
47300,"Visalia-Porterville, CA",NO2,Annual Mean,1,18,18,19,18,16,16,14,15,14,15,13,12,12,13,10,10,9,11,11,10,9
47300,"Visalia-Porterville, CA",NO2,98th Percentile,1,66,66,81,74,62,60,57,59,68,57,56,50,53,53,54,46,51,56,53,55,48
47300,"Visalia-Porterville, CA",O3,4th Max,3,0.098,0.1,0.106,0.102,0.094,0.1,0.098,0.092,0.106,0.09,0.089,0.085,0.09,0.084,0.084,0.086,0.085,0.087,0.089,0.078,0.088
47500,"Walterboro, SC",O3,4th Max,1,0.08,0.078,0.085,0.069,0.071,0.072,0.078,0.072,0.07,0.06,0.069,0.063,0.057,0.05,0.059,0.054,0.057,0.056,0.056,0.056,0.056
47620,"Warren, PA",SO2,99th Percentile,1,207,241,306,262,190,254,235,153,146,113,109,94,109,123,118,114,73,32,30,31,47
47780,"Washington, IN",SO2,99th Percentile,1,120,119,119,107,131,91,135,112,122,138,115,100,78,150,107,93,22,16,13,12,11
47900,"Washington, IN",NO2,Annual Mean,5,17,19,19,20,18,17,15,13,12,12,12,11,11,9,9,10,10,8,8,9,7
47900,"Washington, IN",NO2,98th Percentile,4,56,57,55,58,55,53,49,48,45,44,46,41,39,40,40,41,39,36,36,38,34
47900,"Washington, IN",O3,4th Max,12,0.083,0.093,0.098,0.085,0.08,0.083,0.087,0.084,0.078,0.067,0.081,0.079,0.078,0.066,0.065,0.068,0.069,0.065,0.066,0.063,0.058
47940,"Waterloo-Cedar Falls, IA",O3,4th Max,1,0.078,0.069,0.069,0.07,0.063,0.07,0.064,0.071,0.065,0.06,0.063,0.066,0.068,0.06,0.061,0.059,0.062,0.059,0.068,0.057,0.06
48060,"Watertown-Fort Drum, NY",O3,4th Max,1,0.072,0.102,0.1,0.089,0.071,0.083,0.072,0.083,0.071,0.068,0.077,0.069,0.077,0.066,0.059,0.065,0.067,0.066,0.068,0.056,0.06
48140,"Wausau, WI",O3,4th Max,1,0.073,0.072,0.073,0.074,0.065,0.075,0.066,0.072,0.064,0.06,0.06,0.065,0.069,0.063,0.064,0.063,0.068,0.06,0.065,0.059,0.055
48260,"Wausau, WI",SO2,99th Percentile,6,176,175,138,173,145,146,142,143,150,109,92,82,61,38,34,33,38,21,27,32,28
48540,"Wausau, WI",SO2,99th Percentile,1,177,191,137,154,175,157,147,161,113,61,101,79,55,49,43,38,8,7,9,9,9
48580,"Whitewater-Elkhorn, WI",O3,4th Max,1,0.076,0.088,0.084,0.081,0.069,0.083,0.072,0.075,0.064,0.069,0.065,0.069,0.077,0.067,0.073,0.067,0.072,0.065,0.07,0.07,0.07
48620,"Wichita, KS",NO2,Annual Mean,2,8,8,7,8,8,8,7,7,7,6,6,9,8,7,6,6,5,5,5,5,5
48620,"Wichita, KS",O3,4th Max,2,0.081,0.083,0.079,0.079,0.06,0.076,0.077,0.065,0.068,0.073,0.075,0.079,0.081,0.071,0.068,0.065,0.062,0.064,0.064,0.062,0.059
48620,"Wichita, KS",SO2,99th Percentile,1,20,20,18,17,15,18,4,4,5,4,12,10,8,6,7,5,3,5,4,3,3
48700,"Williamsport, PA",O3,4th Max,1,0.091,0.091,0.091,0.083,0.074,0.082,0.073,0.077,0.082,0.064,0.073,0.063,0.071,0.065,0.062,0.065,0.065,0.062,0.063,0.056,0.058
48780,"Williston, ND",SO2,99th Percentile,1,59,69,89,63,82,105,87,68,50,65,77,68,161,264,180,74,46,67,63,70,6
48900,"Wilmington, NC",O3,4th Max,1,0.08,0.078,0.08,0.076,0.07,0.075,0.072,0.071,0.066,0.06,0.062,0.064,0.064,0.064,0.063,0.057,0.06,0.057,0.062,0.059,0.054
48940,"Wilmington, OH",O3,4th Max,1,0.097,0.093,0.099,0.096,0.078,0.083,0.081,0.082,0.076,0.07,0.076,0.084,0.086,0.064,0.07,0.07,0.071,0.07,0.067,0.065,0.062
49020,"Winchester, VA-WV",O3,4th Max,1,0.079,0.086,0.091,0.079,0.066,0.075,0.074,0.072,0.073,0.062,0.071,0.067,0.07,0.06,0.059,0.061,0.065,0.061,0.059,0.055,0.052
49180,"Winston-Salem, NC",NO2,Annual Mean,1,16,16,14,15,13,10,10,11,11,10,9,8,9,6,6,7,7,7,7,7,5
49180,"Winston-Salem, NC",O3,4th Max,2,0.09,0.094,0.096,0.084,0.077,0.077,0.082,0.083,0.08,0.067,0.08,0.075,0.077,0.065,0.066,0.068,0.068,0.066,0.065,0.064,0.06
49180,"Winston-Salem, NC",SO2,99th Percentile,1,67,73,107,71,98,88,77,67,27,18,15,9,11,5,13,9,6,4,5,5,3
49340,"Worcester, MA-CT",O3,4th Max,1,0.076,0.088,0.091,0.08,0.074,0.085,0.077,0.089,0.081,0.077,0.07,0.065,0.07,0.07,0.065,0.063,0.066,0.068,0.065,0.06,0.063
49620,"York-Hanover, PA",NO2,Annual Mean,1,18,20,17,17,16,18,16,15,14,13,13,13,12,10,11,10,10,8,6,7,7
49620,"York-Hanover, PA",NO2,98th Percentile,1,65,66,63,56,54,63,56,53,48,48,53,49,44,39,45,52,47,42,41,40,39
49620,"York-Hanover, PA",O3,4th Max,1,0.09,0.087,0.101,0.081,0.077,0.089,0.077,0.084,0.081,0.068,0.073,0.074,0.076,0.068,0.063,0.068,0.069,0.062,0.065,0.062,0.056
49620,"York-Hanover, PA",SO2,99th Percentile,1,78,48,58,52,108,112,93,107,96,89,27,34,19,23,26,30,18,10,8,8,6
49660,"Youngstown-Warren-Boardman, OH-PA",O3,4th Max,3,0.087,0.094,0.1,0.088,0.077,0.086,0.079,0.082,0.075,0.068,0.074,0.075,0.082,0.067,0.067,0.068,0.065,0.063,0.068,0.065,0.063
49660,"Youngstown-Warren-Boardman, OH-PA",SO2,99th Percentile,1,89,97,59,75,55,71,60,58,60,54,48,40,43,27,44,32,13,4,5,5,6
49700,"Yuba City, CA",NO2,Annual Mean,1,13,14,15,14,12,12,12,12,12,9,8,8,10,10,8,7,7,7,7,6,6
49700,"Yuba City, CA",NO2,98th Percentile,1,62,62,62,62,52,51,53,47,54,47,45,44,46,52,44,39,40,42,41,40,38
49700,"Yuba City, CA",O3,4th Max,2,0.081,0.077,0.09,0.085,0.076,0.075,0.083,0.075,0.078,0.069,0.067,0.07,0.073,0.066,0.072,0.068,0.072,0.074,0.073,0.063,0.075
